global_step,epoch,step_in_epoch,lr,loss,acc1,acc5,,,,
0,1,1,0.00004,4.980957,0,0,,,,
1,1,2,0.00004,5.137695,0,0,,,,
2,1,3,0.00004,5.14209,0,0,,,,
3,1,4,0.00004,4.997559,0,0,,,,
4,1,5,0.00004,4.824463,0,0,,,,
5,1,6,0.00004,5.116943,0,0.125,,,,
6,1,7,0.00004,5.158691,0,0,,,,
7,1,8,0.00004,4.981689,0,0,,,,
8,1,9,0.00004,4.731934,0,0,,,,
9,1,10,0.00004,4.704102,0,0.125,,,,
10,1,11,0.00004,4.649658,0,0,,,,
11,1,12,0.00004,5.168945,0,0,,,,
12,1,13,0.00004,4.942627,0,0,,,,
13,1,14,0.00004,5.320312,0,0,,,,
14,1,15,0.00004,5.1875,0,0,,,,
15,1,16,0.00004,5.338867,0,0,,,,
16,1,17,0.00004,5.150635,0,0,,,,
17,1,18,0.00004,5.162109,0,0,,,,
18,1,19,0.00004,4.665283,0,0.125,,,,
19,1,20,0.00004,4.80957,0,0,,,,
20,1,21,0.00004,5.058838,0,0,,,,
21,1,22,0.00004,4.976074,0,0.125,,,,
22,1,23,0.00004,4.978516,0,0.125,,,,
23,1,24,0.00004,4.865723,0,0,,,,
24,1,25,0.00004,4.494385,0,0.125,,,,
25,1,26,0.00004,5.116211,0,0,,,,
26,1,27,0.00004,4.674561,0,0.125,,,,
27,1,28,0.00004,5.289551,0,0,,,,
28,1,29,0.00004,5.311523,0,0.125,,,,
29,1,30,0.00004,4.51001,0,0,,,,
30,1,31,0.00004,4.851807,0,0,,,,
31,1,32,0.00004,5.237061,0,0,,,,
32,1,33,0.00004,4.689941,0,0.25,,,,
33,1,34,0.00004,4.655273,0.125,0.125,,,,
34,1,35,0.00004,4.65918,0,0,,,,
35,1,36,0.00004,5.176758,0,0,,,,
36,1,37,0.00004,5.058838,0,0,,,,
37,1,38,0.00004,5.157227,0,0.125,,,,
38,1,39,0.00004,5.386475,0,0,,,,
39,1,40,0.00004,4.869385,0.125,0.125,,,,
40,1,41,0.00004,4.762207,0,0.125,,,,
41,1,42,0.00004,4.96582,0,0,,,,
42,1,43,0.00004,4.487305,0,0,,,,
43,1,44,0.00004,4.489746,0,0,,,,
44,1,45,0.00004,4.72583,0,0.125,,,,
45,1,46,0.00004,4.604248,0,0,,,,
46,1,47,0.00004,5.634277,0,0,,,,
47,1,48,0.00004,5.120117,0,0,,,,
48,1,49,0.00004,4.683105,0,0.125,,,,
49,1,50,0.00004,5.121094,0,0.125,,,,
50,1,51,0.00004,5.016602,0,0,,,,
51,1,52,0.00004,4.900391,0.125,0.125,,,,
52,1,53,0.00004,4.972656,0,0,,,,
53,1,54,0.00004,5.32666,0,0,,,,
54,1,55,0.00004,5.640625,0,0,,,,
55,1,56,0.00004,4.61084,0,0.125,,,,
56,1,57,0.00004,5.083496,0,0,,,,
57,1,58,0.00004,4.404053,0,0.25,,,,
58,1,59,0.00004,5.154297,0,0,,,,
59,1,60,0.00004,5.359863,0,0,,,,
60,1,61,0.00004,5.041016,0,0,,,,
61,1,62,0.00004,5.081787,0,0,,,,
62,1,63,0.00004,4.997559,0,0,,,,
63,1,64,0.00004,4.860352,0,0,,,,
64,1,65,0.00004,4.710205,0,0.125,,,,
65,1,66,0.00004,5.411621,0,0,,,,
66,1,67,0.00004,4.932129,0,0,,,,
67,1,68,0.00004,4.837646,0,0.125,,,,
68,1,69,0.00004,4.998779,0,0.125,,,,
69,1,70,0.00003999,4.765137,0,0,,,,
70,1,71,0.00003999,4.273682,0.125,0.125,,,,
71,1,72,0.00003999,4.601562,0,0,,,,
72,1,73,0.00003999,5.112305,0,0,,,,
73,1,74,0.00003999,4.473389,0,0.25,,,,
74,1,75,0.00003999,5.230957,0,0,,,,
75,1,76,0.00003999,5.603516,0,0,,,,
76,1,77,0.00003999,4.499023,0,0.25,,,,
77,1,78,0.00003999,4.472412,0,0.125,,,,
78,1,79,0.00003999,5.05249,0,0.125,,,,
79,1,80,0.00003999,4.822754,0,0.125,,,,
80,1,81,0.00003999,4.980713,0,0.125,,,,
81,1,82,0.00003999,4.898438,0,0.125,,,,
82,1,83,0.00003999,5.071289,0,0,,,,
83,1,84,0.00003999,5.208496,0,0,,,,
84,1,85,0.00003999,4.848877,0.125,0.25,,,,
85,1,86,0.00003999,5.433594,0,0,,,,
86,1,87,0.00003999,4.937744,0,0.125,,,,
87,1,88,0.00003999,5.573486,0,0,,,,
88,1,89,0.00003999,5.052002,0,0.125,,,,
89,1,90,0.00003999,4.717773,0,0.125,,,,
90,1,91,0.00003999,5.074707,0,0,,,,
91,1,92,0.00003999,5.082275,0,0,,,,
92,1,93,0.00003999,5.556152,0,0,,,,
93,1,94,0.00003999,5.342285,0,0,,,,
94,1,95,0.00003999,4.738525,0,0.125,,,,
95,1,96,0.00003999,4.764404,0,0,,,,
96,1,97,0.00003999,4.413452,0.125,0.125,,,,
97,1,98,0.00003999,4.640869,0,0.125,,,,
98,1,99,0.00003999,4.91748,0,0,,,,
99,1,100,0.00003999,5.08667,0,0,,,,
100,1,101,0.00003999,5.083496,0,0,,,,
101,1,102,0.00003999,4.922363,0,0.125,,,,
102,1,103,0.00003999,4.562012,0,0,,,,
103,1,104,0.00003999,4.788574,0,0.125,,,,
104,1,105,0.00003999,5.455078,0,0,,,,
105,1,106,0.00003999,5.670898,0,0,,,,
106,1,107,0.00003999,5.029297,0,0,,,,
107,1,108,0.00003999,4.647461,0,0.125,,,,
108,1,109,0.00003999,5.113281,0,0.125,,,,
109,1,110,0.00003999,4.786621,0,0,,,,
110,1,111,0.00003999,5.368164,0,0,,,,
111,1,112,0.00003999,5.130371,0,0,,,,
112,1,113,0.00003999,5.113281,0,0,,,,
113,1,114,0.00003999,4.557129,0,0.125,,,,
114,1,115,0.00003999,4.911865,0.125,0.125,,,,
115,1,116,0.00003999,5.03125,0,0,,,,
116,1,117,0.00003999,5.119629,0,0,,,,
117,1,118,0.00003999,5.210449,0,0,,,,
118,1,119,0.00003999,4.884277,0,0,,,,
119,1,120,0.00003999,5.259766,0,0,,,,
120,1,121,0.00003999,5.163086,0,0,,,,
121,1,122,0.00003998,4.729004,0,0,,,,
122,1,123,0.00003998,4.674072,0,0.125,,,,
123,1,124,0.00003998,4.5896,0,0,,,,
124,1,125,0.00003998,5.061523,0,0,,,,
125,1,126,0.00003998,5.03418,0,0,,,,
126,1,127,0.00003998,5.266846,0,0,,,,
127,1,128,0.00003998,4.726562,0,0,,,,
128,1,129,0.00003998,4.950195,0,0,,,,
129,1,130,0.00003998,4.777832,0,0,,,,
130,1,131,0.00003998,5.453613,0,0,,,,
131,1,132,0.00003998,4.992676,0,0,,,,
132,1,133,0.00003998,4.84668,0,0.125,,,,
133,1,134,0.00003998,4.755371,0,0.125,,,,
134,1,135,0.00003998,4.69458,0,0.125,,,,
135,1,136,0.00003998,4.473633,0,0.125,,,,
136,1,137,0.00003998,4.549561,0,0.125,,,,
137,1,138,0.00003998,5.225586,0,0,,,,
138,1,139,0.00003998,5.162109,0,0,,,,
139,1,140,0.00003998,5.149414,0,0,,,,
140,1,141,0.00003998,4.957031,0,0,,,,
141,1,142,0.00003998,4.751221,0,0,,,,
142,1,143,0.00003998,4.620361,0,0.125,,,,
143,1,144,0.00003998,5.30127,0,0,,,,
144,1,145,0.00003998,5.251465,0,0,,,,
145,1,146,0.00003998,4.869629,0,0,,,,
146,1,147,0.00003998,5.344727,0,0,,,,
147,1,148,0.00003998,5.111816,0,0,,,,
148,1,149,0.00003998,4.700684,0,0.125,,,,
149,1,150,0.00003998,4.9375,0,0.125,,,,
150,1,151,0.00003998,4.992432,0,0,,,,
151,1,152,0.00003998,4.959961,0,0,,,,
152,1,153,0.00003998,4.572754,0,0,,,,
153,1,154,0.00003998,4.591064,0,0.125,,,,
154,1,155,0.00003998,4.895264,0,0.125,,,,
155,1,156,0.00003998,5.081055,0,0,,,,
156,1,157,0.00003997,5.146484,0,0,,,,
157,1,158,0.00003997,4.747559,0,0.125,,,,
158,1,159,0.00003997,4.712891,0.125,0.25,,,,
159,1,160,0.00003997,4.521729,0,0,,,,
160,1,161,0.00003997,4.770508,0,0.125,,,,
161,1,162,0.00003997,4.664307,0.125,0.125,,,,
162,1,163,0.00003997,4.884766,0,0,,,,
163,1,164,0.00003997,4.848633,0,0.125,,,,
164,1,165,0.00003997,4.626953,0,0.125,,,,
